name,title,rating,review
Rudrajit Dey,Great product,4.3,"Excellent phone. Received today with 1 day delivery at no extra cost. I upgraded from Redmi Note 8 pro to this one. Apps.and settings transfer was seamless, fast and easy. No heating while charging and playing videos simultaneously. Battery backup is good. So far performance is quite satisfactory. I will update after few weeks of usage.READ MORE"
Sayyed Sam,Good quality product,5,Nice colorAwesome CameraExcellent DesignSuperb PerformanceREAD MORE
ATUL MISHRA,Very Good,4,The budgeted phone and camera quality is awesome.. Highly recommended..!!READ MORE
Garry Lopes,Awesome,4,Product is too good...overall performance is good.....best part is the camera quality and the sound...READ MORE
Rahul  Jayantilal Joshi,Just wow!,5,Good Product Very GoodREAD MORE
Alan Johnson,Simply awesome,5,I have upgraded to this phone from RMi note 9 pro maxThe camera is good with details and all stuff but its close to natural with a yellow tint it's not that much eye pleasing for many but for me its okokFront camera is average but both camera have good stabilityDisplay is Actually verygood with 120hz best content viewing experienceBattery is ok i have a  minimum usage with no gaming at all it lasts for 1 day easilyPerformance for day to day tasks it's best all the power you needed is...READ MORE
Vikas Kumar  Kumar,Good quality product,5,Good phone. Rate should be 18kREAD MORE
Ravi Ranjan,Terrific,4,Average phone... Value of moneyREAD MORE
PRAVEEN  PRAKASH,Wonderful,5,"One of the best Note series from Redmi 14 pro , Value for money , Dolby Atmos is excellent, fast charging, Over all very good 👍READ MORE"
Avinash  Patil,Terrific,5,"Got the phone within 1 day, that was too good, excellent phone fast charging, good camera quality. Worth the price.READ MORE"
Flipkart Customer,Great product,4.3,Best phoneREAD MORE
Flipkart Customer,Awesome,5,Best phone byy camera quality is the best and processor is very bestREAD MORE
Amit kumar,Nice Product,5,"Nice Product, Upgrading from Redmi Note 11 Pro Plus 5GREAD MORE"
Flipkart Customer,Best in the market!,4,I love this mobile ❤️❤️❤️❤️❤️READ MORE
Neeraj Tomer,Best in the market!,5,Very very good phone after pro+ bought pro versionREAD MORE
Flipkart Customer,Terrific,5,All features are superb except the front camera.I was using a Redmi note 5 pro and trust me it's camera was far better than this 14 pro. The back camera is awesome.READ MORE
Vicky Barmer,Terrific purchase,5,Really best phoneGift to my brotherI love redmi (mi)I buy redmi serise phone form redmi 7 pro.Really very very good phoneREAD MORE
Flipkart Customer,Really Nice,5,Super  battery performanceGood cameraGood performanceREAD MORE
MDS hahjahan,Does the job,4,Very goodREAD MORE
Maragathavel c,Mind-blowing purchase,3,Very niceREAD MORE
Abhinav Sachan,Super!,4.3,Very nice productREAD MORE
Rahul  Dubey,Super!,5,ExcellentREAD MORE
pitabas rana,Good choice,5,Products is good..Design is good..READ MORE
dworika mandal,Fabulous!,4,everything is good 🇳🇵 i am from nepal 🇳🇵❤️❤️READ MORE
Niraj  Kumar,Must buy!,5,Awesome mobile phone note 14 proREAD MORE
Susmita Fouzder,Worth every penny,5,Very good phoneREAD MORE
Kiran Sutar,Terrific purchase,5,Overall good...should have improved the night photo a little bit more... Gaming on this device is great...battery 100/100...display 10/10...perfomance 9/10.... Design 8/10..READ MORE
Manali Abaji  Rawool,Worth the money,5,"Great phone but lots of bloatware on the phone,  GUI needs to be much refinedREAD MORE"
Rakesh Mohanty,Worth every penny,4,Ovoraly good mobile on this budgetREAD MORE
Swastik Mishra,Wonderful,5,Good product 👍READ MORE
ABU  TALAHA,Great product,4.3,Camera quality is very good and sound quality bestREAD MORE
Rockstar Jiya Jiyanna,Simply awesome,5,GoodREAD MORE
Flipkart Customer,Terrific,5,SuperbREAD MORE
Sharma Navin,Good choice,5,Very nice productREAD MORE
Sathish Kumar,Terrific,4,Great phone 📱 but need to improve in camera sREAD MORE
Amit  Kumar,Excellent,5,Nice look ☺️READ MORE
Manjunatha K N,Nice,5,Nice but battery🔋 didn't charge faster after 69%READ MORE
Mr.Geek,Best in the market!,3,"I have been a redmi user for the last 8 years and, redmi never disappoints, this phone is also very nice and in-hand feel is very premium, it's not too heavy however it feels like a very premium phone, camera quality is decent, performance is also very good, battery can be improved but fine.READ MORE"
kundan singh shekhawat,Slightly disappointed,5,Average mobile but price so highREAD MORE
MIRZA ALI HUSSAIN,Must buy!,2,Good mobile and nice camera and display  thnx flipkartSorry to say for flipkart but dilevery was given late 6 days taken to dilevery mobileREAD MORE
Flipkart Customer,Really Nice,4.3,Best phone under 25k to purchase with the unique designREAD MORE
Chandan Singh,Awesome,4,"Camera 4.4Battery  5.5Display  5.5Performance very good high recommendedPhone,,,,READ MORE"
Adv Umesh Ghardas,Delightful,5,The phone has a good camera and battery but there are laging issue in this phone..READ MORE
Akash  Bagera,Delightful,4,Phone look Awesome Camera Quality GoodREAD MORE
Flipkart Customer,Awesome,4,Nice productCamera 4/5Display 4/5Design 5/5Batter 3/5Overall Performance 4/5All are very well except Battery need to improve battery performance.Finally phone was excellent happy to buy the product.READ MORE
Flipkart Customer,Best in the market!,5,ExcellentREAD MORE
Shoaib Khan,Wonderful,5,Amazing product in pocket friendly range....Brilliant performanceREAD MORE
karthi alwin,Great product,5,Superb Phone for this budgetREAD MORE
Saravanan R,Wonderful,5,"Very Slim and sexy look, its terrific mobile, i loveREAD MORE"
Spandan Sasmal,Worth every penny,5,The best phoneREAD MORE
Flipkart Customer,Terrific,4.3,SuperbREAD MORE
Shail Kumar,Super!,5,Nice OneREAD MORE
sameer ahmad khan kaifi,Simply awesome,5,This good foneREAD MORE
SYED ISHFAQ AHMAD,Mind-blowing purchase,5,"Awesome photo at this price, display quality fabulous outstanding.READ MORE"
Aman Singh,Mind-blowing purchase,5,Nice product good luck this phoneREAD MORE
Flipkart VaisakhSN,Super!,5,Superb phone....Used note 9 pro for the last 5 years no problem no battery issue..no lagging.exchanged for upgrading ...READ MORE
Bittu  Motwani,Awesome,5,Good phoneREAD MORE
PROMIS SARKAR,Great product,5,Good warkingREAD MORE
deepak gond,Great product,5,Osm phoneREAD MORE
MD Shorif Uddin,Wonderful,5,Camera is so goodREAD MORE
bala krishnan,Worth every penny,4.3,GoodREAD MORE
SHAIK SABEER,Worth every penny,5,I love the Redmi mobiles is Awesome features and Excellent 👍 Camera Battery 🔋 backup is so so good and the design is Mind blowing ExtraordinaryREAD MORE
Dharmendra Kumar Singh,Must buy!,5,Very nice product.i love this product very much ❤️❤️READ MORE
Salman Ali,Great product,5,GoodREAD MORE
Prasad m,Perfect product!,5,"photo clarity is good,good performanceREAD MORE"
Sachin Herenj,Highly recommended,5,Excellent productREAD MORE
Jasim sk,Mind-blowing purchase,5,GoodREAD MORE
Flipkart Customer,Fabulous!,5,Over all good. Camera picture Quality super.READ MORE
Mukesh S,Value-for-money,5,All features are good. Battery life could have been betterREAD MORE
Mangleshwar Prajapati,Nice product,4,Excellent Product and Worth the Money on this Price.READ MORE
Jagatheeshwaran Jagatheeshwaran,Good quality product,4.3,Camera 5/4Battery 5/3Display 5/5Design 5/4Performance 5/4Over all ok value for money ...😍READ MORE
Ajay Mahlagi,Pretty good,4,Redmi loverREAD MORE
Nitin  Khatiyan,Decent product,4,I think this mobile make for🐞......READ MORE
Mehul Macwan,Super!,3,Nice designREAD MORE
Deva Verma,Perfect product!,5,Best phone best choice 😍READ MORE
Flipkart Customer,Great product,5,Good performance and camaraREAD MORE
Anurag  Verma,Perfect product!,5,GoodREAD MORE
Shashi Kant,Wonderful,5,"Best phone in market, this price Phone Design goodREAD MORE"
M SARAVANA  KUMAR,Awesome,4,This product is very low quality and motorola mobile is good in place of xiaomi mobile.READ MORE
Flipkart Customer,Bad quality,5,"Wast off money not worth hanging problem heating problem,battery backup wasteREAD MORE"
V. Ranjith Nayak,Terrible product,4.3,Battery health not good🙁READ MORE
Aditya Roy,Decent product,1,OkREAD MORE
DAYAL SINGH  WAUGH,Must buy!,3,Great product by Redmi. Thanks RedmiREAD MORE
Shaik  Abdul noor nawaz,Pretty good,5,Good but the battery is not working 24 hoursREAD MORE
Hem Raj,Just okay,4,Touch does not respond sometimesREAD MORE
Pooran Singh,Perfect product!,3,Very good mobileREAD MORE
Gopalarao Yadav,Unsatisfactory,5,Mobail is bad batary and camera or performanceREAD MORE
Balasani Solomon Raju,Worthless,1,WasteREAD MORE
H Ananda H,Perfect product!,1,Super mobileREAD MORE
Sudha Sharma,Super!,5,Good 👍🏻READ MORE
RAJESH KUMAR,Decent product,4.3,Nice phREAD MORE
pradip kadam,Fair,3,Bad 👎READ MORE
Rajkiran Kiran,Classy product,3,Superb display feel and best camera qualityREAD MORE
Flipkart Customer,Terrific purchase,5,Good to use camera is gudREAD MORE
Syed Zubeda,Very poor,5,Worst worst mobile please don't buyREAD MORE
Simon Rai,Terrific,1,Very nice product I ever purchase before like it.READ MORE
Mohd Kaif,Worth the money,5,Nice and good looking phoneREAD MORE
Jatinder Garg,Unsatisfactory,4,Camera is not as good as they show in adsREAD MORE
guna,Just wow!,1,Good designNo hangingImages like DSLRBattery life okValue for moneyREAD MORE
Azra  Tabassum,Unsatisfactory,5,I don't like the product battery performance is poor and camera is disgustingREAD MORE
